"Time (s) Run #1","Position (m) Run #1","Force (N) Run #1","Speed (mm/min) Run #1","Time (s) Run #2","Position (m) Run #2","Force (N) Run #2","Speed (mm/min) Run #2","Time (s) Run #3","Position (m) Run #3","Force (N) Run #3","Speed (mm/min) Run #3"
10.600,-0.00129,-3,18.61,10.600,-1.07315E-4,-817,-0.54,10.600,-0.00334,-3096,-39.15
10.800,-0.00123,-2,16.51,10.800,-1.08585E-4,-828,-0.57,10.800,-0.00346,-3101,-32.32
11.000,-0.00118,-3,14.19,11.000,-1.11125E-4,-852,-0.57,11.000,-0.00356,-3091,-28.80
11.200,-0.00113,-3,9.94,11.200,-1.13030E-4,-867,-0.54,11.200,-0.00362,-3115,-36.61
11.400,-0.00110,-3,2.03,11.400,-1.14300E-4,-879,-0.57,11.400,-0.00376,-3156,-48.13
11.600,-0.00111,-3,-7.91,11.600,-1.16205E-4,-894,-0.60,11.600,-0.00400,-775,-45.82
11.800,-0.00116,-3,-14.57,11.800,-1.19380E-4,-920,-0.60,11.800,-0.00414,1150,-27.37
12.000,-0.00123,-3,-15.59,12.000,-1.20015E-4,-929,-0.57,12.000,-0.00415,1151,-7.97
12.200,-0.00127,-3,-12.00,12.200,-1.22555E-4,-950,-0.48,12.200,-0.00415,1151,-0.32
12.400,-0.00131,-5,-7.18,12.400,-1.24460E-4,-969,-0.32,12.400,-0.00415,1151,0.00
12.600,-0.00132,-6,-3.33,12.600,-1.24460E-4,-970,-0.10,12.600,-0.00415,1151,0.00
12.800,-0.00132,-6,-0.73,12.800,-1.24460E-4,-969,0.00,12.800,-0.00415,1151,0.00
13.000,-0.00132,-6,0.00,13.000,-1.24460E-4,-968,0.00,13.000,-0.00415,1151,0.00
13.200,-0.00132,-6,-0.22,13.200,-1.24460E-4,-968,0.00,13.200,-0.00415,1151,0.00
13.400,-0.00132,-6,-1.81,13.400,-1.24460E-4,-968,0.00,13.400,-0.00415,1151,0.00
13.600,-0.00133,-6,-3.81,13.600,-1.24460E-4,-968,0.00,13.600,-0.00415,1151,0.00
13.800,-0.00135,-6,-4.51,13.800,-1.24460E-4,-968,0.00,13.800,-0.00415,1151,0.00
14.000,-0.00137,-5,-3.21,14.000,-1.24460E-4,-968,0.00,14.000,-0.00415,1151,0.00
14.200,-0.00137,-5,-1.43,14.200,-1.24460E-4,-968,0.00,14.200,-0.00415,1151,0.00
14.400,-0.00137,-6,-1.11,14.400,-1.24460E-4,-968,0.00,14.400,-0.00415,1150,0.00
14.600,-0.00138,-6,-1.97,14.600,-1.24460E-4,-968,0.00,14.600,-0.00415,1151,0.00
14.800,-0.00138,-6,-3.37,14.800,-1.24460E-4,-968,0.00,14.800,-0.00415,1150,0.00
15.000,-0.00140,-6,-4.45,15.000,-1.24460E-4,-968,-0.10,15.000,-0.00415,1150,0.00
15.200,-0.00142,-10,-4.92,15.200,-1.24460E-4,-967,-0.32,15.200,-0.00415,1150,0.00
15.400,-0.00143,-15,-4.16,15.400,-1.26365E-4,-977,-0.51,15.400,-0.00415,1150,0.00
15.600,-0.00145,-31,-2.64,15.600,-1.28905E-4,-1002,-0.57,15.600,-0.00415,1151,0.00
15.800,-0.00145,-48,-1.11,15.800,-1.30175E-4,-1015,-0.48,15.800,-0.00415,1150,0.00
16.000,-0.00145,-55,-0.29,16.000,-1.32080E-4,-1035,-0.29,16.000,-0.00415,1150,0.00
16.200,-0.00145,-56,-0.16,16.200,-1.32715E-4,-1039,-0.10,16.200,-0.00415,1150,0.00
16.400,-0.00145,-57,-0.06,16.400,-1.32080E-4,-1038,0.03,16.400,-0.00415,1151,0.00
16.600,-0.00145,-56,-0.03,16.600,-1.32080E-4,-1038,0.03,16.600,-0.00415,1151,0.00
16.800,-0.00145,-56,0.03,16.800,-1.32080E-4,-1038,0.00,16.800,-0.00415,1151,0.00
17.000,-0.00145,-56,0.06,17.000,-1.32080E-4,-1038,0.00,17.000,-0.00415,1151,0.00
17.200,-0.00145,-56,0.06,17.200,-1.32080E-4,-1038,0.00,17.200,-0.00415,1151,0.00
17.400,-0.00145,-56,0.38,17.400,-1.32080E-4,-1038,0.00,17.400,-0.00415,1151,0.00
17.600,-0.00145,-56,1.90,17.600,-1.32080E-4,-1038,0.00,17.600,-0.00415,1151,0.00
17.800,-0.00145,-39,3.14,17.800,-1.32080E-4,-1037,0.00,17.800,-0.00415,1151,0.00
18.000,-0.00142,-12,2.83,18.000,-1.32080E-4,-1038,0.00,18.000,-0.00415,1151,0.00
18.200,-0.00142,-11,0.73,18.200,-1.32080E-4,-1037,0.00,18.200,-0.00415,1151,
18.400,-0.00142,-11,-2.10,18.400,-1.32080E-4,-1038,0.00,,,,
18.600,-0.00143,-13,-3.78,18.600,-1.32080E-4,-1037,0.00,,,,
18.800,-0.00145,-35,-4.16,18.800,-1.32080E-4,-1037,0.00,,,,
19.000,-0.00146,-104,-3.17,19.000,-1.32080E-4,-1037,0.00,,,,
19.200,-0.00147,-141,-1.84,19.200,-1.32080E-4,-1037,0.00,,,,
19.400,-0.00148,-178,-0.95,19.400,-1.32080E-4,-1037,0.00,,,,
19.600,-0.00148,-186,-0.35,19.600,-1.32080E-4,-1037,0.00,,,,
19.800,-0.00148,-186,-0.03,19.800,-1.32080E-4,-1037,0.00,,,,
20.000,-0.00148,-186,0.03,20.000,-1.32080E-4,-1037,0.00,,,,
20.200,-0.00148,-186,0.79,20.200,-1.32080E-4,-1037,0.00,,,,
20.400,-0.00148,-187,2.22,20.400,-1.32080E-4,-1036,0.00,,,,
20.600,-0.00146,-123,3.46,20.600,-1.32080E-4,-1036,0.00,,,,
20.800,-0.00145,-28,3.27,20.800,-1.32080E-4,-1037,0.00,,,,
21.000,-0.00144,-15,1.87,21.000,-1.32080E-4,-1036,0.06,,,,
21.200,-0.00144,-15,0.70,21.200,-1.32080E-4,-1036,0.25,,,,
21.400,-0.00144,-15,0.19,21.400,-1.30810E-4,-1026,0.41,,,,
21.600,-0.00144,-13,0.16,21.600,-1.28270E-4,-1011,0.38,,,,
21.800,-0.00144,-13,0.06,21.800,-1.27635E-4,-997,0.19,,,,
22.000,-0.00144,-14,0.00,22.000,-1.27635E-4,-996,0.03,,,,
22.200,-0.00144,-13,0.19,22.200,-1.27635E-4,-996,0.00,,,,
22.400,-0.00144,-13,0.38,22.400,-1.27635E-4,-996,0.00,,,,
22.600,-0.00143,-12,0.38,22.600,-1.27635E-4,-996,0.00,,,,
22.800,-0.00143,-12,0.06,22.800,-1.27635E-4,-996,0.00,,,,
23.000,-0.00143,-11,-0.57,23.000,-1.27635E-4,-995,0.00,,,,
23.200,-0.00143,-12,-1.02,23.200,-1.27635E-4,-996,0.00,,,,
23.400,-0.00144,-14,-1.08,23.400,-1.27635E-4,-995,0.00,,,,
23.600,-0.00144,-15,-0.73,23.600,-1.27635E-4,-996,0.00,,,,
23.800,-0.00144,-17,-0.44,23.800,-1.27635E-4,-995,0.00,,,,
24.000,-0.00144,-17,-0.44,24.000,-1.27635E-4,-995,0.00,,,,
24.200,-0.00145,-24,-0.51,24.200,-1.27635E-4,-995,0.00,,,,
24.400,-0.00145,-27,-0.44,24.400,-1.27635E-4,-995,0.00,,,,
24.600,-0.00145,-34,-0.25,24.600,-1.27635E-4,-996,0.00,,,,
24.800,-0.00145,-35,-0.16,24.800,-1.27635E-4,-996,0.00,,,,
25.000,-0.00145,-36,-0.22,25.000,-1.27635E-4,-995,0.00,,,,
25.200,-0.00145,-39,-0.38,25.200,-1.27635E-4,-995,0.00,,,,
25.400,-0.00145,-47,-0.38,25.400,-1.27635E-4,-995,0.00,,,,
25.600,-0.00145,-55,-0.22,25.600,-1.27635E-4,-995,0.00,,,,
25.800,-0.00145,-56,-0.06,25.800,-1.27635E-4,-995,0.00,,,,
26.000,-0.00145,-56,0.00,26.000,-1.27635E-4,-995,0.00,,,,
26.200,-0.00145,-56,0.00,26.200,-1.27635E-4,-995,-0.03,,,,
26.400,-0.00145,-57,-0.03,26.400,-1.27635E-4,-995,-0.06,,,,
26.600,-0.00145,-56,-0.06,26.600,-1.28270E-4,-996,-0.06,,,,
26.800,-0.00146,-58,-0.13,26.800,-1.28270E-4,-995,-0.03,,,,
27.000,-0.00146,-59,-0.25,27.000,-1.28270E-4,-996,0.00,,,,
27.200,-0.00146,-62,-0.35,27.200,-1.28270E-4,-996,0.00,,,,
27.400,-0.00146,-74,-0.38,27.400,-1.28270E-4,-995,0.00,,,,
27.600,-0.00146,-79,-0.41,27.600,-1.28270E-4,-996,0.00,,,,
27.800,-0.00146,-84,-0.44,27.800,-1.28270E-4,-996,0.00,,,,
28.000,-0.00146,-97,-0.44,28.000,-1.28270E-4,-997,0.00,,,,
28.200,-0.00146,-103,-0.35,28.200,-1.28270E-4,-997,0.00,,,,
28.400,-0.00146,-109,-0.22,28.400,-1.28270E-4,-998,0.00,,,,
28.600,-0.00147,-116,-0.13,28.600,-1.28270E-4,-998,0.00,,,,
28.800,-0.00147,-116,-0.06,28.800,-1.28270E-4,-999,0.00,,,,
29.000,-0.00147,-115,-0.13,29.000,-1.28270E-4,-999,0.00,,,,
29.200,-0.00147,-116,-0.19,29.200,-1.28270E-4,-999,-0.03,,,,
29.400,-0.00147,-123,-0.16,29.400,-1.28270E-4,-999,-0.06,,,,
29.600,-0.00147,-125,-0.06,29.600,-1.28905E-4,-999,-0.06,,,,
29.800,-0.00147,-126,0.00,29.800,-1.28905E-4,-999,-0.03,,,,
30.000,-0.00147,-126,-0.03,30.000,-1.28905E-4,-1000,0.00,,,,
30.200,-0.00147,-126,-0.06,30.200,-1.28905E-4,-1003,0.00,,,,
30.400,-0.00147,-127,-0.10,30.400,-1.28905E-4,-1004,0.00,,,,
30.600,-0.00147,-129,-0.10,30.600,-1.28905E-4,-1004,0.00,,,,
30.800,-0.00147,-131,-0.06,30.800,-1.28905E-4,-1003,0.00,,,,
31.000,-0.00147,-131,-0.03,31.000,-1.28905E-4,-1004,0.00,,,,
31.200,-0.00147,-131,0.00,31.200,-1.28905E-4,-1003,0.00,,,,
31.400,-0.00147,-131,0.00,31.400,-1.28905E-4,-1004,0.00,,,,
31.600,-0.00147,-131,-0.06,31.600,-1.28905E-4,-1004,0.00,,,,
31.800,-0.00147,-132,-0.13,31.800,-1.28905E-4,-1004,0.00,,,,
32.000,-0.00147,-136,-0.16,32.000,-1.28905E-4,-1004,0.00,,,,
32.200,-0.00147,-140,-0.13,32.200,-1.28905E-4,-1004,0.00,,,,
32.400,-0.00147,-143,-0.06,32.400,-1.28905E-4,-1004,0.00,,,,
32.600,-0.00147,-144,-0.06,32.600,-1.28905E-4,-1003,0.00,,,,
32.800,-0.00147,-144,-0.06,32.800,-1.28905E-4,-1004,0.00,,,,
33.000,-0.00147,-145,-0.06,33.000,-1.28905E-4,-1004,0.00,,,,
33.200,-0.00147,-147,-0.03,33.200,-1.28905E-4,-1004,0.00,,,,
33.400,-0.00147,-148,0.00,33.400,-1.28905E-4,-1004,0.00,,,,
33.600,-0.00147,-148,-0.03,33.600,-1.28905E-4,-1004,0.00,,,,
33.800,-0.00147,-149,-0.06,33.800,-1.28905E-4,-1004,0.00,,,,
34.000,-0.00147,-149,-0.06,34.000,-1.28905E-4,-1004,0.00,,,,
34.200,-0.00147,-152,-0.03,34.200,-1.28905E-4,-1003,0.00,,,,
34.400,-0.00147,-153,0.00,34.400,-1.28905E-4,-1003,0.00,,,,
34.600,-0.00147,-153,0.00,34.600,-1.28905E-4,-1004,0.00,,,,
34.800,-0.00147,-153,0.00,34.800,-1.28905E-4,-1003,0.00,,,,
35.000,-0.00147,-153,0.00,35.000,-1.28905E-4,-1003,0.00,,,,
35.200,-0.00147,-153,0.00,35.200,-1.28905E-4,-1004,0.00,,,,
35.400,-0.00147,-153,0.00,35.400,-1.28905E-4,-1003,0.00,,,,
35.600,-0.00147,-153,0.00,35.600,-1.28905E-4,-1003,0.00,,,,
35.800,-0.00147,-153,0.00,35.800,-1.28905E-4,-1004,0.00,,,,
36.000,-0.00147,-153,0.00,36.000,-1.28905E-4,-1004,0.00,,,,
36.200,-0.00147,-153,0.00,36.200,-1.28905E-4,-1004,0.00,,,,
36.400,-0.00147,-153,0.00,36.400,-1.28905E-4,-1004,0.00,,,,
36.600,-0.00147,-153,0.00,36.600,-1.28905E-4,-1003,0.00,,,,
36.800,-0.00147,-153,0.00,36.800,-1.28905E-4,-1003,0.00,,,,
37.000,-0.00147,-153,0.00,37.000,-1.28905E-4,-1004,0.00,,,,
37.200,-0.00147,-153,0.00,37.200,-1.28905E-4,-1003,0.00,,,,
37.400,-0.00147,-153,0.00,37.400,-1.28905E-4,-1003,0.00,,,,
37.600,-0.00147,-153,0.00,37.600,-1.28905E-4,-1003,0.00,,,,
37.800,-0.00147,-153,0.00,37.800,-1.28905E-4,-1003,0.00,,,,
38.000,-0.00147,-153,0.00,38.000,-1.28905E-4,-1004,0.00,,,,
38.200,-0.00147,-153,0.00,38.200,-1.28905E-4,-1003,0.00,,,,
38.400,-0.00147,-153,0.00,38.400,-1.28905E-4,-1003,0.00,,,,
38.600,-0.00147,-153,0.00,38.600,-1.28905E-4,-1004,0.00,,,,
38.800,-0.00147,-153,0.00,38.800,-1.28905E-4,-1003,0.00,,,,
39.000,-0.00147,-153,0.00,39.000,-1.28905E-4,-1004,0.00,,,,
39.200,-0.00147,-153,0.00,39.200,-1.28905E-4,-1004,0.00,,,,
39.400,-0.00147,-153,0.00,39.400,-1.28905E-4,-1003,0.00,,,,
39.600,-0.00147,-153,0.00,39.600,-1.28905E-4,-1003,0.00,,,,
39.800,-0.00147,-153,0.00,39.800,-1.28905E-4,-1003,0.00,,,,
40.000,-0.00147,-153,0.00,40.000,-1.28905E-4,-1003,0.00,,,,
40.200,-0.00147,-153,0.00,40.200,-1.28905E-4,-1003,0.00,,,,
40.400,-0.00147,-154,0.03,40.400,-1.28905E-4,-1004,0.00,,,,
40.600,-0.00147,-154,0.06,40.600,-1.28905E-4,-1004,0.00,,,,
