"Time (s) Run #1","Position (m) Run #1","Force (N) Run #1","Speed (mm/min) Run #1","Time (s) Run #2","Position (m) Run #2","Force (N) Run #2","Speed (mm/min) Run #2","Time (s) Run #3","Position (m) Run #3","Force (N) Run #3","Speed (mm/min) Run #3"
57.600,-0.00145,-47,-0.03,57.600,-1.29540E-4,-1008,0.00,,,,
57.800,-0.00145,-48,-0.10,57.800,-1.29540E-4,-1009,0.00,,,,
58.000,-0.00145,-50,-0.13,58.000,-1.29540E-4,-1008,0.00,,,,
58.200,-0.00145,-52,-0.13,58.200,-1.29540E-4,-1008,0.00,,,,
58.400,-0.00145,-55,-0.16,58.400,-1.29540E-4,-1009,0.00,,,,
58.600,-0.00146,-56,-0.19,58.600,-1.29540E-4,-1008,0.00,,,,
58.800,-0.00146,-62,-0.19,58.800,-1.29540E-4,-1009,0.00,,,,
59.000,-0.00146,-65,-0.19,59.000,-1.29540E-4,-1009,0.00,,,,
59.200,-0.00146,-68,-0.19,59.200,-1.29540E-4,-1008,0.00,,,,
59.400,-0.00146,-72,-0.19,59.400,-1.29540E-4,-1008,0.00,,,,
59.600,-0.00146,-75,-0.16,59.600,-1.29540E-4,-1008,0.00,,,,
59.800,-0.00146,-77,-0.16,59.800,-1.29540E-4,-1009,0.00,,,,
60.000,-0.00146,-80,-0.16,60.000,-1.29540E-4,-1009,0.00,,,,
60.200,-0.00146,-84,-0.13,60.200,-1.29540E-4,-1009,0.00,,,,
60.400,-0.00146,-85,-0.13,60.400,-1.29540E-4,-1008,0.00,,,,
60.600,-0.00146,-86,-0.16,60.600,-1.29540E-4,-1008,0.00,,,,
60.800,-0.00146,-91,-0.19,60.800,-1.29540E-4,-1008,0.00,,,,
61.000,-0.00146,-95,-0.19,61.000,-1.29540E-4,-1008,0.00,,,,
61.200,-0.00146,-100,-0.19,61.200,-1.29540E-4,-1009,0.00,,,,
61.400,-0.00146,-103,-0.16,61.400,-1.29540E-4,-1009,0.00,,,,
61.600,-0.00146,-105,-0.10,61.600,-1.29540E-4,-1009,0.00,,,,
61.800,-0.00146,-106,-0.06,61.800,-1.29540E-4,-1008,0.00,,,,
62.000,-0.00146,-107,-0.06,62.000,-1.29540E-4,-1009,0.00,,,,
62.200,-0.00146,-109,-0.06,62.200,-1.29540E-4,-1008,0.00,,,,
62.400,-0.00146,-111,-0.03,62.400,-1.29540E-4,-1008,0.00,,,,
62.600,-0.00146,-111,0.00,62.600,-1.29540E-4,-1009,0.00,,,,
62.800,-0.00146,-111,0.00,62.800,-1.29540E-4,-1009,0.00,,,,
63.000,-0.00146,-111,0.00,63.000,-1.29540E-4,-1008,0.00,,,,
63.200,-0.00146,-111,0.00,63.200,-1.29540E-4,-1008,0.00,,,,
63.400,-0.00146,-111,-0.03,63.400,-1.29540E-4,-1008,0.00,,,,
63.600,-0.00146,-111,-0.10,63.600,-1.29540E-4,-1009,0.00,,,,
63.800,-0.00147,-113,-0.16,63.800,-1.29540E-4,-1009,0.03,,,,
64.000,-0.00147,-117,-0.16,64.000,-1.29540E-4,-1008,0.10,,,,
64.200,-0.00147,-119,-0.13,64.200,-1.28905E-4,-1006,0.13,,,,
64.400,-0.00147,-122,-0.10,64.400,-1.28270E-4,-1002,0.10,,,,
64.600,-0.00147,-125,-0.06,64.600,-1.28270E-4,-1002,0.03,,,,
64.800,-0.00147,-126,-0.06,64.800,-1.28270E-4,-1002,0.00,,,,
65.000,-0.00147,-126,-0.10,65.000,-1.28270E-4,-1002,0.00,,,,
65.200,-0.00147,-129,-0.16,65.200,-1.28270E-4,-1002,0.00,,,,
65.400,-0.00147,-133,-0.19,65.400,-1.28270E-4,-1002,0.00,,,,
65.600,-0.00147,-136,-0.16,65.600,-1.28270E-4,-1002,-0.03,,,,
65.800,-0.00147,-140,-0.10,65.800,-1.28270E-4,-1001,-0.06,,,,
66.000,-0.00147,-140,-0.03,66.000,-1.28905E-4,-1002,-0.06,,,,
66.200,-0.00147,-141,0.00,66.200,-1.28905E-4,-1001,-0.03,,,,
66.400,-0.00147,-142,0.00,66.400,-1.28905E-4,-1001,0.00,,,,
66.600,-0.00147,-142,-0.03,66.600,-1.28905E-4,-1001,0.00,,,,
66.800,-0.00147,-142,-0.10,66.800,-1.28905E-4,-1001,0.00,,,,
67.000,-0.00147,-145,-0.13,67.000,-1.28905E-4,-1001,0.00,,,,
67.200,-0.00147,-148,-0.13,67.200,-1.28905E-4,-1002,0.00,,,,
67.400,-0.00147,-148,-0.10,67.400,-1.28905E-4,-1001,0.00,,,,
67.600,-0.00147,-152,-0.06,67.600,-1.28905E-4,-1001,0.00,,,,
67.800,-0.00147,-154,-0.03,67.800,-1.28905E-4,-1001,0.00,,,,
68.000,-0.00147,-155,0.00,68.000,-1.28905E-4,-1001,0.00,,,,
68.200,-0.00147,-155,0.00,68.200,-1.28905E-4,-1001,0.00,,,,
68.400,-0.00147,-155,0.00,68.400,-1.28905E-4,-1001,0.00,,,,
68.600,-0.00147,-155,0.00,68.600,-1.28905E-4,-1002,0.00,,,,
68.800,-0.00147,-155,0.00,68.800,-1.28905E-4,-1001,0.00,,,,
69.000,-0.00147,-155,0.00,69.000,-1.28905E-4,-1001,0.00,,,,
69.200,-0.00147,-155,0.00,69.200,-1.28905E-4,-1001,0.00,,,,
69.400,-0.00147,-155,0.00,69.400,-1.28905E-4,-1001,0.00,,,,
69.600,-0.00147,-155,0.00,69.600,-1.28905E-4,-1001,0.00,,,,
69.800,-0.00147,-155,0.00,69.800,-1.28905E-4,-1001,0.00,,,,
70.000,-0.00147,-155,0.00,70.000,-1.28905E-4,-1001,0.00,,,,
70.200,-0.00147,-155,0.00,70.200,-1.28905E-4,-1001,0.00,,,,
70.400,-0.00147,-155,0.00,70.400,-1.28905E-4,-1002,0.00,,,,
70.600,-0.00147,-156,0.00,70.600,-1.28905E-4,-1002,0.00,,,,
70.800,-0.00147,-155,0.00,70.800,-1.28905E-4,-1001,0.00,,,,
71.000,-0.00147,-156,0.00,71.000,-1.28905E-4,-1001,0.00,,,,
71.200,-0.00147,-155,0.00,71.200,-1.28905E-4,-1001,0.00,,,,
71.400,-0.00147,-155,0.06,71.400,-1.28905E-4,-1001,0.00,,,,
71.600,-0.00147,-155,0.13,71.600,-1.28905E-4,-1001,0.00,,,,
71.800,-0.00147,-149,0.13,71.800,-1.28905E-4,-1001,0.00,,,,
72.000,-0.00147,-144,0.06,72.000,-1.28905E-4,-1001,0.00,,,,
72.200,-0.00147,-144,0.00,72.200,-1.28905E-4,-1001,0.00,,,,
72.400,-0.00147,-144,0.00,72.400,-1.28905E-4,-1001,0.00,,,,
72.600,-0.00147,-144,0.00,72.600,-1.28905E-4,-1001,0.00,,,,
72.800,-0.00147,-144,0.00,72.800,-1.28905E-4,-1001,0.00,,,,
73.000,-0.00147,-144,0.00,73.000,-1.28905E-4,-1001,0.00,,,,
73.200,-0.00147,-144,0.00,73.200,-1.28905E-4,-1001,0.00,,,,
73.400,-0.00147,-144,0.00,73.400,-1.28905E-4,-1001,0.00,,,,
73.600,-0.00147,-144,0.00,73.600,-1.28905E-4,-1001,0.00,,,,
73.800,-0.00147,-144,0.00,73.800,-1.28905E-4,-1001,0.00,,,,
74.000,-0.00147,-144,0.03,74.000,-1.28905E-4,-1001,0.00,,,,
74.200,-0.00147,-143,0.06,74.200,-1.28905E-4,-1001,0.00,,,,
74.400,-0.00147,-142,0.10,74.400,-1.28905E-4,-1001,0.00,,,,
74.600,-0.00147,-140,0.10,74.600,-1.28905E-4,-1001,0.00,,,,
74.800,-0.00147,-139,0.06,74.800,-1.28905E-4,-1001,0.00,,,,
75.000,-0.00147,-137,0.10,75.000,-1.28905E-4,-1001,0.00,,,,
75.200,-0.00147,-137,0.16,75.200,-1.28905E-4,-1001,0.00,,,,
75.400,-0.00147,-130,0.19,75.400,-1.28905E-4,-1001,0.00,,,,
75.600,-0.00147,-125,0.16,75.600,-1.28905E-4,-1001,0.00,,,,
75.800,-0.00147,-123,0.13,75.800,-1.28905E-4,-1001,0.00,,,,
76.000,-0.00147,-119,0.13,76.000,-1.28905E-4,-1002,0.00,,,,
76.200,-0.00147,-118,0.10,76.200,-1.28905E-4,-1001,0.00,,,,
76.400,-0.00147,-118,0.03,76.400,-1.28905E-4,-1001,0.00,,,,
76.600,-0.00147,-118,0.00,76.600,-1.28905E-4,-1001,0.00,,,,
76.800,-0.00147,-118,0.06,76.800,-1.28905E-4,-1001,0.00,,,,
77.000,-0.00147,-117,0.13,77.000,-1.28905E-4,-1002,0.00,,,,
77.200,-0.00146,-111,0.19,77.200,-1.28905E-4,-1001,0.00,,,,
77.400,-0.00146,-108,0.22,77.400,-1.28905E-4,-1001,0.00,,,,
77.600,-0.00146,-102,0.19,77.600,-1.28905E-4,-1001,0.00,,,,
77.800,-0.00146,-95,0.16,77.800,-1.28905E-4,-1001,0.00,,,,
78.000,-0.00146,-95,0.10,78.000,-1.28905E-4,-1001,0.00,,,,
78.200,-0.00146,-94,0.06,78.200,-1.28905E-4,-1002,0.00,,,,
78.400,-0.00146,-93,0.06,78.400,-1.28905E-4,-1001,0.00,,,,
78.600,-0.00146,-93,0.10,78.600,-1.28905E-4,-1001,0.00,,,,
78.800,-0.00146,-90,0.13,78.800,-1.28905E-4,-1001,0.00,,,,
79.000,-0.00146,-86,0.10,79.000,-1.28905E-4,-1001,0.00,,,,
79.200,-0.00146,-86,0.03,79.200,-1.28905E-4,-1002,0.00,,,,
79.400,-0.00146,-85,0.03,79.400,-1.28905E-4,-1001,0.00,,,,
79.600,-0.00146,-84,0.06,79.600,-1.28905E-4,-1001,0.00,,,,
79.800,-0.00146,-82,0.10,79.800,-1.28905E-4,-1001,0.00,,,,
80.000,-0.00146,-80,0.13,80.000,-1.28905E-4,-1002,0.00,,,,
80.200,-0.00146,-78,0.13,80.200,-1.28905E-4,-1001,0.00,,,,
80.400,-0.00146,-76,0.10,80.400,-1.28905E-4,-1001,0.00,,,,
80.600,-0.00146,-75,0.03,80.600,-1.28905E-4,-1001,0.00,,,,
80.800,-0.00146,-74,0.00,80.800,-1.28905E-4,-1001,0.00,,,,
81.000,-0.00146,-74,0.00,81.000,-1.28905E-4,-1001,0.00,,,,
81.200,-0.00146,-74,0.03,81.200,-1.28905E-4,-1001,0.00,,,,
81.400,-0.00146,-74,0.13,81.400,-1.28905E-4,-1001,0.00,,,,
81.600,-0.00146,-71,0.19,81.600,-1.28905E-4,-1001,0.00,,,,
81.800,-0.00146,-66,0.16,81.800,-1.28905E-4,-1001,0.00,,,,
82.000,-0.00146,-65,0.06,82.000,-1.28905E-4,-1001,0.00,,,,
82.200,-0.00146,-65,0.00,82.200,-1.28905E-4,-1001,0.00,,,,
82.400,-0.00146,-65,0.00,82.400,-1.28905E-4,-1001,0.00,,,,
82.600,-0.00146,-64,0.03,82.600,-1.28905E-4,-1001,0.00,,,,
82.800,-0.00146,-63,0.06,82.800,-1.28905E-4,-1001,0.00,,,,
83.000,-0.00146,-63,0.06,83.000,-1.28905E-4,-1002,0.00,,,,
83.200,-0.00146,-62,0.03,83.200,-1.28905E-4,-1001,0.00,,,,
83.400,-0.00146,-62,0.00,83.400,-1.28905E-4,-1001,0.00,,,,
83.600,-0.00146,-61,0.00,83.600,-1.28905E-4,-1001,0.00,,,,
83.800,-0.00146,-61,0.03,83.800,-1.28905E-4,-1001,0.00,,,,
84.000,-0.00146,-60,0.06,84.000,-1.28905E-4,-1001,0.00,,,,
84.200,-0.00146,-59,0.06,84.200,-1.28905E-4,-1002,0.00,,,,
84.400,-0.00146,-58,0.03,84.400,-1.28905E-4,-1001,0.00,,,,
84.600,-0.00146,-58,0.00,84.600,-1.28905E-4,-1002,0.00,,,,
84.800,-0.00146,-57,0.00,84.800,-1.28905E-4,-1002,0.00,,,,
85.000,-0.00146,-57,0.10,85.000,-1.28905E-4,-1002,0.00,,,,
85.200,-0.00146,-58,0.22,85.200,-1.28905E-4,-1002,0.00,,,,
85.400,-0.00145,-53,0.25,85.400,-1.28905E-4,-1001,0.00,,,,
85.600,-0.00145,-45,0.16,85.600,-1.28905E-4,-1001,0.00,,,,
85.800,-0.00145,-45,0.03,85.800,-1.28905E-4,-1001,0.00,,,,
86.000,-0.00145,-44,0.00,86.000,-1.28905E-4,-1001,0.00,,,,
86.200,-0.00145,-44,0.00,86.200,-1.28905E-4,-1001,0.00,,,,
86.400,-0.00145,-44,0.00,86.400,-1.28905E-4,-1001,0.00,,,,
86.600,-0.00145,-45,0.00,86.600,-1.28905E-4,-1001,0.00,,,,
86.800,-0.00145,-44,0.00,86.800,-1.28905E-4,-1001,0.00,,,,
87.000,-0.00145,-45,0.00,87.000,-1.28905E-4,-1001,0.00,,,,
87.200,-0.00145,-45,0.00,87.200,-1.28905E-4,-1001,0.00,,,,
87.400,-0.00145,-45,0.00,87.400,-1.28905E-4,-1001,0.00,,,,
87.600,-0.00145,-45,0.00,87.600,-1.28905E-4,-1001,0.00,,,,
87.800,-0.00145,-45,0.00,87.800,-1.28905E-4,-1001,0.00,,,,
88.000,-0.00145,-44,0.00,88.000,-1.28905E-4,-1001,0.00,,,,
88.200,-0.00145,-45,0.00,88.200,-1.28905E-4,-1001,0.00,,,,
88.400,-0.00145,-45,0.00,88.400,-1.28905E-4,-1001,0.00,,,,
88.600,-0.00145,-45,-0.03,88.600,-1.28905E-4,-1001,0.00,,,,
88.800,-0.00145,-45,-0.06,88.800,-1.28905E-4,-1002,0.00,,,,
89.000,-0.00145,-45,-0.10,89.000,-1.28905E-4,-1001,0.00,,,,
89.200,-0.00145,-48,-0.10,89.200,-1.28905E-4,-1001,0.00,,,,
89.400,-0.00145,-50,-0.06,89.400,-1.28905E-4,-1001,0.00,,,,
89.600,-0.00145,-52,-0.03,89.600,-1.28905E-4,-1001,0.00,,,,
89.800,-0.00145,-52,0.00,89.800,-1.28905E-4,-1001,0.00,,,,
90.000,-0.00145,-52,0.00,90.000,-1.28905E-4,-1001,0.00,,,,
90.200,-0.00145,-52,0.00,90.200,-1.28905E-4,-1001,0.00,,,,
90.400,-0.00145,-52,0.00,90.400,-1.28905E-4,-1001,0.00,,,,
90.600,-0.00145,-52,0.00,90.600,-1.28905E-4,-1001,0.00,,,,
90.800,-0.00145,-52,-0.13,90.800,-1.28905E-4,-1002,0.00,,,,
91.000,-0.00145,-52,-0.35,91.000,-1.28905E-4,-1001,0.00,,,,
91.200,-0.00146,-56,-0.64,91.200,-1.28905E-4,-1002,0.00,,,,
91.400,-0.00146,-76,-0.83,91.400,-1.28905E-4,-1001,0.00,,,,
91.600,-0.00146,-94,-0.79,91.600,-1.28905E-4,-1001,0.00,,,,
91.800,-0.00147,-109,-0.60,91.800,-1.28905E-4,-1001,0.00,,,,
92.000,-0.00147,-120,-0.35,92.000,-1.28905E-4,-1002,0.00,,,,
92.200,-0.00147,-125,-0.22,92.200,-1.28905E-4,-1001,0.00,,,,
92.400,-0.00147,-128,-0.16,92.400,-1.28905E-4,-1002,0.00,,,,
92.600,-0.00147,-130,-0.13,92.600,-1.28905E-4,-1001,0.00,,,,
92.800,-0.00147,-133,-0.13,92.800,-1.28905E-4,-1002,0.00,,,,
93.000,-0.00147,-136,-0.19,93.000,-1.28905E-4,-1002,0.00,,,,
93.200,-0.00147,-139,-0.22,93.200,-1.28905E-4,-1001,0.00,,,,
93.400,-0.00147,-145,-0.16,93.400,-1.28905E-4,-1002,0.00,,,,
93.600,-0.00147,-148,-0.10,93.600,-1.28905E-4,-1001,0.00,,,,
93.800,-0.00147,-149,-0.06,93.800,-1.28905E-4,-1001,0.00,,,,
94.000,-0.00147,-151,-0.10,94.000,-1.28905E-4,-1002,0.00,,,,
94.200,-0.00147,-153,-0.10,94.200,-1.28905E-4,-1002,0.00,,,,
94.400,-0.00147,-154,-0.06,94.400,-1.28905E-4,-1002,0.00,,,,
94.600,-0.00147,-155,-0.03,94.600,-1.28905E-4,-1002,0.00,,,,
94.800,-0.00147,-155,0.00,94.800,-1.28905E-4,-1002,0.00,,,,
95.000,-0.00147,-155,0.00,95.000,-1.28905E-4,-1002,0.00,,,,
95.200,-0.00147,-155,0.00,95.200,-1.28905E-4,-1002,0.00,,,,
95.400,-0.00147,-155,0.00,95.400,-1.28905E-4,-1001,0.00,,,,
95.600,-0.00147,-155,0.00,95.600,-1.28905E-4,-1001,0.00,,,,
95.800,-0.00147,-155,0.00,95.800,-1.28905E-4,-1002,0.00,,,,
96.000,-0.00147,-155,0.00,96.000,-1.28905E-4,-1001,0.00,,,,
96.200,-0.00147,-156,0.00,96.200,-1.28905E-4,-1001,0.00,,,,
96.400,-0.00147,-156,0.00,96.400,-1.28905E-4,-1001,0.00,,,,
96.600,-0.00147,-155,0.00,96.600,-1.28905E-4,-1001,0.00,,,,
96.800,-0.00147,-155,0.00,96.800,-1.28905E-4,-1001,0.00,,,,
97.000,-0.00147,-155,0.00,97.000,-1.28905E-4,-1002,0.00,,,,
97.200,-0.00147,-155,0.00,97.200,-1.28905E-4,-1001,0.00,,,,
97.400,-0.00147,-156,0.00,97.400,-1.28905E-4,-1001,0.00,,,,
97.600,-0.00147,-156,0.00,97.600,-1.28905E-4,-1001,0.00,,,,
97.800,-0.00147,-156,0.03,97.800,-1.28905E-4,-1001,0.00,,,,
98.000,-0.00147,-156,0.13,98.000,-1.28905E-4,-1001,0.00,,,,
98.200,-0.00147,-156,0.22,98.200,-1.28905E-4,-1001,0.00,,,,
98.400,-0.00147,-150,0.22,98.400,-1.28905E-4,-1001,0.00,,,,
98.600,-0.00147,-144,0.13,98.600,-1.28905E-4,-1001,0.00,,,,
98.800,-0.00147,-142,0.06,98.800,-1.28905E-4,-1001,0.00,,,,
99.000,-0.00147,-141,0.10,99.000,-1.28905E-4,-1001,0.00,,,,
99.200,-0.00147,-139,0.13,99.200,-1.28905E-4,-1001,0.00,,,,
99.400,-0.00147,-135,0.13,99.400,-1.28905E-4,-1001,0.00,,,,
99.600,-0.00147,-132,0.13,99.600,-1.28905E-4,-1001,0.00,,,,
99.800,-0.00147,-130,0.16,99.800,-1.28905E-4,-1001,0.00,,,,
100.000,-0.00147,-125,0.19,100.000,-1.28905E-4,-1001,0.00,,,,
100.200,-0.00147,-122,0.19,100.200,-1.28905E-4,-1001,0.00,,,,
100.400,-0.00147,-118,0.19,100.400,-1.28905E-4,-1001,0.00,,,,
100.600,-0.00147,-113,0.16,100.600,-1.28905E-4,-1002,0.00,,,,
100.800,-0.00146,-108,0.13,100.800,-1.28905E-4,-1001,0.00,,,,
101.000,-0.00146,-106,0.13,101.000,-1.28905E-4,-1002,0.00,,,,
101.200,-0.00146,-106,0.13,101.200,-1.28905E-4,-1001,0.00,,,,
101.400,-0.00146,-103,0.13,101.400,-1.28905E-4,-1002,0.00,,,,
101.600,-0.00146,-99,0.13,101.600,-1.28905E-4,-1001,0.00,,,,
101.800,-0.00146,-97,0.13,101.800,-1.28905E-4,-1001,0.00,,,,
102.000,-0.00146,-95,0.10,102.000,-1.28905E-4,-1001,0.00,,,,
102.200,-0.00146,-93,0.06,102.200,-1.28905E-4,-1001,0.00,,,,
102.400,-0.00146,-92,0.06,102.400,-1.28905E-4,-1001,0.00,,,,
102.600,-0.00146,-91,0.10,102.600,-1.28905E-4,-1002,0.00,,,,
102.800,-0.00146,-88,0.10,102.800,-1.28905E-4,-1001,0.00,,,,
103.000,-0.00146,-86,0.10,103.000,-1.28905E-4,-1001,0.00,,,,
103.200,-0.00146,-84,0.13,103.200,-1.28905E-4,-1001,0.00,,,,
103.400,-0.00146,-82,0.13,103.400,-1.28905E-4,-1001,0.00,,,,
103.600,-0.00146,-79,0.13,103.600,-1.28905E-4,-1001,0.00,,,,
103.800,-0.00146,-77,0.10,103.800,-1.28905E-4,-1001,0.00,,,,
104.000,-0.00146,-76,0.06,104.000,-1.28905E-4,-1001,0.00,,,,
104.200,-0.00146,-75,0.06,104.200,-1.28905E-4,-1001,0.00,,,,
104.400,-0.00146,-74,0.06,104.400,-1.28905E-4,-1001,0.00,,,,
104.600,-0.00146,-72,0.06,104.600,-1.28905E-4,-1001,0.00,,,,
104.800,-0.00146,-71,0.03,104.800,-1.28905E-4,-1001,0.00,,,,
105.000,-0.00146,-71,0.00,105.000,-1.28905E-4,-1001,0.00,,,,
105.200,-0.00146,-70,0.03,105.200,-1.28905E-4,-1002,0.00,,,,
105.400,-0.00146,-69,0.06,105.400,-1.28905E-4,-1002,0.00,,,,
105.600,-0.00146,-68,0.06,105.600,-1.28905E-4,-1001,0.00,,,,
105.800,-0.00146,-68,0.06,105.800,-1.28905E-4,-1001,0.00,,,,
106.000,-0.00146,-66,0.06,106.000,-1.28905E-4,-1001,0.00,,,,
106.200,-0.00146,-65,0.06,106.200,-1.28905E-4,-1001,0.00,,,,
106.400,-0.00146,-64,0.03,106.400,-1.28905E-4,-1002,0.00,,,,
106.600,-0.00146,-64,0.00,106.600,-1.28905E-4,-1001,0.00,,,,
106.800,-0.00146,-64,0.03,106.800,-1.28905E-4,-1001,0.00,,,,
107.000,-0.00146,-63,0.06,107.000,-1.28905E-4,-1001,0.00,,,,
107.200,-0.00146,-61,0.10,107.200,-1.28905E-4,-1002,0.00,,,,
107.400,-0.00146,-60,0.10,107.400,-1.28905E-4,-1001,0.00,,,,
107.600,-0.00146,-59,0.06,107.600,-1.28905E-4,-1001,0.00,,,,
107.800,-0.00146,-58,0.06,107.800,-1.28905E-4,-1001,0.00,,,,
108.000,-0.00146,-57,0.06,108.000,-1.28905E-4,-1002,0.00,,,,
108.200,-0.00146,-55,0.06,108.200,-1.28905E-4,-1001,0.00,,,,
108.400,-0.00146,-55,0.03,108.400,-1.28905E-4,-1002,0.00,,,,
108.600,-0.00146,-55,0.03,108.600,-1.28905E-4,-1001,0.00,,,,
108.800,-0.00146,-54,0.06,108.800,-1.28905E-4,-1001,0.00,,,,
109.000,-0.00145,-52,0.06,109.000,-1.28905E-4,-1001,0.00,,,,
109.200,-0.00145,-51,0.03,109.200,-1.28905E-4,-1001,0.00,,,,
109.400,-0.00145,-50,0.00,109.400,-1.28905E-4,-1002,0.00,,,,
109.600,-0.00145,-50,0.00,109.600,-1.28905E-4,-1002,0.00,,,,
109.800,-0.00145,-50,0.00,109.800,-1.28905E-4,-1001,0.00,,,,
110.000,-0.00145,-50,0.00,110.000,-1.28905E-4,-1001,0.00,,,,
110.200,-0.00145,-50,0.00,110.200,-1.28905E-4,-1002,0.00,,,,
110.400,-0.00145,-50,0.00,110.400,-1.28905E-4,-1001,0.00,,,,
110.600,-0.00145,-50,0.00,110.600,-1.28905E-4,-1001,0.00,,,,
110.800,-0.00145,-49,0.00,110.800,-1.28905E-4,-1001,0.00,,,,
111.000,-0.00145,-50,0.00,111.000,-1.28905E-4,-1001,0.00,,,,
111.200,-0.00145,-49,0.00,111.200,-1.28905E-4,-1001,0.00,,,,
111.400,-0.00145,-50,0.00,111.400,-1.28905E-4,-1001,0.00,,,,
111.600,-0.00145,-50,0.00,111.600,-1.28905E-4,-1001,,,,,
111.800,-0.00145,-49,0.00,,,,,,,,
112.000,-0.00145,-49,0.00,,,,,,,,
112.200,-0.00145,-49,0.00,,,,,,,,
112.400,-0.00145,-49,0.00,,,,,,,,
112.600,-0.00145,-49,0.00,,,,,,,,
112.800,-0.00145,-49,-0.03,,,,,,,,
113.000,-0.00145,-50,-0.10,,,,,,,,
113.200,-0.00146,-53,-0.16,,,,,,,,
113.400,-0.00146,-57,-0.16,,,,,,,,
113.600,-0.00146,-58,-0.10,,,,,,,,
113.800,-0.00146,-59,-0.03,,,,,,,,
114.000,-0.00146,-59,-0.03,,,,,,,,
114.200,-0.00146,-60,-0.06,,,,,,,,
114.400,-0.00146,-62,-0.10,,,,,,,,
114.600,-0.00146,-64,-0.13,,,,,,,,
114.800,-0.00146,-68,-0.16,,,,,,,,
115.000,-0.00146,-69,-0.22,,,,,,,,
115.200,-0.00146,-74,-0.25,,,,,,,,
115.400,-0.00146,-81,-0.25,,,,,,,,
115.600,-0.00146,-85,-0.22,,,,,,,,
115.800,-0.00146,-88,-0.16,,,,,,,,
116.000,-0.00146,-91,-0.13,,,,,,,,
116.200,-0.00146,-94,-0.10,,,,,,,,
116.400,-0.00146,-95,-0.06,,,,,,,,
116.600,-0.00146,-96,-0.03,,,,,,,,
116.800,-0.00146,-97,-0.06,,,,,,,,
117.000,-0.00146,-97,-0.16,,,,,,,,
117.200,-0.00146,-101,-0.19,,,,,,,,
117.400,-0.00146,-105,-0.13,,,,,,,,
117.600,-0.00146,-107,-0.06,,,,,,,,
117.800,-0.00146,-109,-0.06,,,,,,,,
118.000,-0.00147,-110,-0.06,,,,,,,,
118.200,-0.00147,-110,-0.03,,,,,,,,
118.400,-0.00147,-111,0.00,,,,,,,,
118.600,-0.00147,-111,-0.03,,,,,,,,
118.800,-0.00147,-112,-0.06,,,,,,,,
119.000,-0.00147,-113,-0.06,,,,,,,,
119.200,-0.00147,-114,-0.03,,,,,,,,
119.400,-0.00147,-115,-0.03,,,,,,,,
119.600,-0.00147,-116,-0.06,,,,,,,,
119.800,-0.00147,-117,-0.10,,,,,,,,
120.000,-0.00147,-120,-0.10,,,,,,,,
120.200,-0.00147,-122,-0.10,,,,,,,,
120.400,-0.00147,-123,-0.10,,,,,,,,
120.600,-0.00147,-125,-0.06,,,,,,,,
120.800,-0.00147,-126,-0.03,,,,,,,,
121.000,-0.00147,-126,0.00,,,,,,,,
121.200,-0.00147,-127,0.00,,,,,,,,
121.400,-0.00147,-127,0.00,,,,,,,,
121.600,-0.00147,-128,-0.03,,,,,,,,
121.800,-0.00147,-128,-0.10,,,,,,,,
122.000,-0.00147,-131,-0.13,,,,,,,,
122.200,-0.00147,-133,-0.13,,,,,,,,
122.400,-0.00147,-136,-0.10,,,,,,,,
122.600,-0.00147,-138,-0.10,,,,,,,,
122.800,-0.00147,-140,-0.13,,,,,,,,
123.000,-0.00147,-143,-0.13,,,,,,,,
123.200,-0.00147,-149,-0.10,,,,,,,,
123.400,-0.00147,-150,-0.03,,,,,,,,
123.600,-0.00147,-150,0.00,,,,,,,,
123.800,-0.00147,-150,0.00,,,,,,,,
124.000,-0.00147,-150,0.00,,,,,,,,
124.200,-0.00147,-150,0.00,,,,,,,,
124.400,-0.00147,-150,0.00,,,,,,,,
124.600,-0.00147,-150,0.00,,,,,,,,
124.800,-0.00147,-150,0.00,,,,,,,,
125.000,-0.00147,-150,0.00,,,,,,,,
125.200,-0.00147,-151,0.00,,,,,,,,
125.400,-0.00147,-151,0.00,,,,,,,,
125.600,-0.00147,-151,0.00,,,,,,,,
125.800,-0.00147,-151,0.00,,,,,,,,
126.000,-0.00147,-151,0.00,,,,,,,,
126.200,-0.00147,-151,0.03,,,,,,,,
126.400,-0.00147,-151,0.19,,,,,,,,
126.600,-0.00147,-149,0.35,,,,,,,,
126.800,-0.00147,-134,0.35,,,,,,,,
127.000,-0.00147,-123,0.22,,,,,,,,
127.200,-0.00147,-123,0.13,,,,,,,,
127.400,-0.00147,-122,0.19,,,,,,,,
127.600,-0.00147,-117,0.25,,,,,,,,
127.800,-0.00146,-110,0.25,,,,,,,,
128.000,-0.00146,-105,0.22,,,,,,,,
128.200,-0.00146,-99,0.22,,,,,,,,
128.400,-0.00146,-95,0.22,,,,,,,,
128.600,-0.00146,-91,0.16,,,,,,,,
128.800,-0.00146,-88,0.06,,,,,,,,
129.000,-0.00146,-87,0.03,,,,,,,,
129.200,-0.00146,-87,0.06,,,,,,,,
129.400,-0.00146,-86,0.10,,,,,,,,
129.600,-0.00146,-83,0.13,,,,,,,,
129.800,-0.00146,-81,0.16,,,,,,,,
130.000,-0.00146,-78,0.19,,,,,,,,
130.200,-0.00146,-75,0.16,,,,,,,,
130.400,-0.00146,-72,0.10,,,,,,,,
