Time (s) Run #1,Position (m) Run #1,Force (N) Run #1,Speed (mm/min) Run #1,Time (s) Run #2,Position (m) Run #2,Force (N) Run #2,Speed (mm/min) Run #2
116,7.62E-06,118,0.03,116,1.30E-04,1000,0
116.2,7.62E-06,118,0.06,116.2,1.30E-04,1000,0
116.4,8.26E-06,120,0.06,116.4,1.30E-04,1000,0
116.6,8.26E-06,121,0.06,116.6,1.30E-04,1000,0
116.8,8.26E-06,123,0.06,116.8,1.30E-04,1000,0
117,8.89E-06,126,0.1,117,1.30E-04,1000,0
117.2,8.89E-06,130,0.1,117.2,1.30E-04,1000,0
117.4,9.53E-06,132,0.06,117.4,1.30E-04,1000,0
117.6,9.53E-06,134,0.03,117.6,1.30E-04,999,0
117.8,9.53E-06,135,0,117.8,1.30E-04,1000,0
118,9.53E-06,136,0.03,118,1.30E-04,1000,0
118.2,9.53E-06,138,0.06,118.2,1.30E-04,1000,0
118.4,1.02E-05,141,0.1,118.4,1.30E-04,1000,0
118.6,1.02E-05,144,0.1,118.6,1.30E-04,1000,0
118.8,1.08E-05,148,0.06,118.8,1.30E-04,1000,0
119,1.08E-05,150,0.03,119,1.30E-04,1000,0
119.2,1.08E-05,148,0,119.2,1.30E-04,999,0
119.4,1.08E-05,148,-0.03,119.4,1.30E-04,1000,0
119.6,1.08E-05,148,-0.06,119.6,1.30E-04,1000,0
119.8,1.02E-05,144,-0.13,119.8,1.30E-04,1000,0
120,1.02E-05,142,-0.19,120,1.30E-04,1000,0
120.2,8.89E-06,126,-0.22,120.2,1.30E-04,1000,0
120.4,8.26E-06,120,-0.25,120.4,1.30E-04,1000,0
120.6,7.62E-06,115,-0.22,120.6,1.30E-04,1000,0
120.8,6.35E-06,108,-0.19,120.8,1.30E-04,1000,0
121,6.35E-06,104,-0.13,121,1.30E-04,1000,0
121.2,5.72E-06,102,-0.1,121.2,1.30E-04,1000,0
121.4,5.72E-06,101,-0.13,121.4,1.30E-04,999,0
121.6,5.08E-06,98,-0.13,121.6,1.30E-04,1000,0
121.8,4.45E-06,91,-0.1,121.8,1.30E-04,1000,0
122,4.45E-06,88,-0.03,122,1.30E-04,1000,0
122.2,4.45E-06,87,0,122.2,1.30E-04,1000,0
122.4,4.45E-06,86,0,122.4,1.30E-04,999,0
122.6,4.45E-06,85,0,122.6,1.30E-04,1000,0
122.8,4.45E-06,85,0,122.8,1.30E-04,1000,0
123,4.45E-06,85,-0.06,123,1.30E-04,1000,0
123.2,4.45E-06,84,-0.13,123.2,1.30E-04,1000,0
123.4,3.18E-06,77,-0.13,123.4,1.30E-04,1000,0
123.6,3.18E-06,72,-0.1,123.6,1.30E-04,1000,0
123.8,3.18E-06,71,-0.06,123.8,1.30E-04,1000,0
124,2.54E-06,70,-0.06,124,1.30E-04,1000,0
124.2,2.54E-06,70,-0.1,124.2,1.30E-04,1000,0
124.4,2.54E-06,68,-0.13,124.4,1.30E-04,1000,0
124.6,1.27E-06,64,-0.13,124.6,1.30E-04,1000,0
124.8,1.27E-06,55,-0.06,124.8,1.30E-04,1000,0
125,1.27E-06,54,0,125,1.30E-04,1000,0
125.2,1.27E-06,53,0,125.2,1.30E-04,1000,0
125.4,1.27E-06,53,0,125.4,1.30E-04,1000,0
125.6,1.27E-06,52,0,125.6,1.30E-04,1000,0
125.8,1.27E-06,52,0,125.8,1.30E-04,1000,0
126,1.27E-06,52,0,126,1.30E-04,1000,0
126.2,1.27E-06,52,0,126.2,1.30E-04,1000,0
126.4,1.27E-06,52,0,126.4,1.30E-04,999,0
126.6,1.27E-06,52,0.16,126.6,1.30E-04,999,0
126.8,1.27E-06,52,0.48,126.8,1.30E-04,1000,0
127,4.45E-06,61,0.73,127,1.30E-04,1000,0
127.2,7.62E-06,111,0.73,127.2,1.30E-04,1000,0
127.4,9.53E-06,133,0.48,127.4,1.30E-04,1000,0
127.6,1.08E-05,146,0.22,127.6,1.30E-04,1000,0
127.8,1.08E-05,149,0.06,127.8,1.30E-04,1000,0
128,1.08E-05,150,0,128,1.30E-04,1000,0
128.2,1.08E-05,149,-0.03,128.2,1.30E-04,1000,0
128.4,1.08E-05,147,-0.35,128.4,1.30E-04,1000,0
128.6,1.02E-05,143,-0.73,128.6,1.30E-04,1000,0
128.8,4.45E-06,96,-0.86,128.8,1.30E-04,1000,0
129,2.54E-06,77,-0.6,129,1.30E-04,1000,0
129.2,1.27E-06,59,-0.22,129.2,1.30E-04,1000,0
129.4,1.27E-06,55,-0.06,129.4,1.30E-04,999,0
129.6,1.27E-06,52,0,129.6,1.30E-04,1000,0
129.8,1.27E-06,51,0,129.8,1.30E-04,1000,0
130,1.27E-06,51,0,130,1.30E-04,1000,0
130.2,1.27E-06,50,0,130.2,1.30E-04,1000,0
130.4,1.27E-06,50,0,130.4,1.30E-04,1000,0
130.6,1.27E-06,50,0,130.6,1.30E-04,1000,0
130.8,1.27E-06,49,0,130.8,1.30E-04,1000,0
131,1.27E-06,49,0,131,1.30E-04,1000,0
131.2,1.27E-06,49,0.16,131.2,1.30E-04,1000,0
131.4,1.27E-06,50,0.38,131.4,1.30E-04,1000,0
131.6,4.45E-06,65,0.54,131.6,1.30E-04,1000,0
131.8,5.72E-06,86,0.51,131.8,1.30E-04,1000,0
132,7.62E-06,108,0.32,132,1.30E-04,1000,0
132.2,8.26E-06,117,0.16,132.2,1.30E-04,1000,0
132.4,8.26E-06,118,0.03,132.4,1.30E-04,1000,0
132.6,8.26E-06,118,0,132.6,1.30E-04,1000,0
132.8,8.26E-06,118,0.03,132.8,1.30E-04,1000,0
133,8.26E-06,119,0.1,133,1.30E-04,1000,0
133.2,8.89E-06,127,0.13,133.2,1.30E-04,1000,0
133.4,9.53E-06,132,0.1,133.4,1.30E-04,1000,0
133.6,9.53E-06,134,0.06,133.6,1.30E-04,1000,0
133.8,9.53E-06,134,0.1,133.8,1.30E-04,1000,0
134,1.02E-05,138,0.13,134,1.30E-04,1000,0
134.2,1.08E-05,144,0.1,134.2,1.30E-04,1000,0
134.4,1.08E-05,144,0.03,134.4,1.30E-04,1000,0
134.6,1.08E-05,145,0,134.6,1.30E-04,1000,0
134.8,1.08E-05,145,0.03,134.8,1.30E-04,1000,0
135,1.08E-05,147,0.06,135,1.30E-04,1000,0
135.2,1.14E-05,151,0.06,135.2,1.30E-04,1000,0
135.4,1.14E-05,153,0.03,135.4,1.30E-04,1000,0
135.6,1.14E-05,153,-0.03,135.6,1.30E-04,1000,0
135.8,1.14E-05,151,-0.1,135.8,1.30E-04,1000,0
136,1.08E-05,146,-0.13,136,1.30E-04,1000,0
136.2,1.02E-05,135,-0.1,136.2,1.30E-04,1000,0
136.4,1.02E-05,132,-0.03,136.4,1.30E-04,1000,0
136.6,1.02E-05,131,-0.03,136.6,1.30E-04,1000,0
136.8,1.02E-05,131,-0.06,136.8,1.30E-04,1000,0
137,9.53E-06,130,-0.06,137,1.30E-04,1000,0
137.2,9.53E-06,129,-0.03,137.2,1.30E-04,1000,0
137.4,9.53E-06,129,-0.03,137.4,1.30E-04,1000,0
137.6,9.53E-06,128,-0.06,137.6,1.30E-04,1000,0
137.8,8.89E-06,126,-0.1,137.8,1.30E-04,1000,0
138,8.89E-06,122,-0.1,138,1.30E-04,1000,0
138.2,8.26E-06,121,-0.1,138.2,1.30E-04,1000,0
138.4,8.26E-06,119,-0.1,138.4,1.30E-04,1000,0
138.6,7.62E-06,116,-0.06,138.6,1.30E-04,1000,0
138.8,7.62E-06,114,-0.03,138.8,1.30E-04,1000,0
139,7.62E-06,113,0,139,1.30E-04,1000,0
139.2,7.62E-06,112,-0.1,139.2,1.30E-04,1000,0
139.4,7.62E-06,111,-0.19,139.4,1.30E-04,1000,0
139.6,5.72E-06,106,-0.19,139.6,1.30E-04,1000,0
139.8,5.72E-06,100,-0.1,139.8,1.30E-04,1000,0
140,5.72E-06,99,-0.03,140,1.30E-04,1000,0
140.2,5.72E-06,98,-0.06,140.2,1.30E-04,1000,0
140.4,5.08E-06,94,-0.06,140.4,1.30E-04,1000,0
140.6,5.08E-06,93,-0.03,140.6,1.30E-04,1000,0
140.8,5.08E-06,92,0,140.8,1.30E-04,1000,0
141,5.08E-06,91,0,141,1.30E-04,1000,0
141.2,5.08E-06,90,0,141.2,1.30E-04,1000,0
141.4,5.08E-06,89,-0.03,141.4,1.30E-04,999,0
141.6,5.08E-06,88,-0.06,141.6,1.30E-04,1000,0
141.8,4.45E-06,87,-0.06,141.8,1.30E-04,1000,0
142,4.45E-06,84,-0.06,142,1.30E-04,1000,0
142.2,4.45E-06,83,-0.06,142.2,1.30E-04,1000,0
142.4,3.81E-06,81,-0.06,142.4,1.30E-04,1000,0
142.6,3.81E-06,77,-0.06,142.6,1.30E-04,1000,0
142.8,3.81E-06,76,-0.06,142.8,1.30E-04,1000,0
143,3.18E-06,74,-0.1,143,1.30E-04,1000,0
143.2,3.18E-06,72,-0.13,143.2,1.30E-04,1000,0
143.4,2.54E-06,66,-0.13,143.4,1.30E-04,1000,0
143.6,1.91E-06,63,-0.13,143.6,1.30E-04,1000,0
143.8,1.91E-06,59,-0.1,143.8,1.30E-04,1000,0
144,1.27E-06,57,-0.06,144,1.30E-04,1000,0
144.2,1.27E-06,53,-6.35E-17,144.2,1.30E-04,1000,0
144.4,1.27E-06,52,0.06,144.4,1.30E-04,1000,0
144.6,1.91E-06,52,0.06,144.6,1.30E-04,1000,0
144.8,1.91E-06,52,0,144.8,1.30E-04,1000,0
145,1.91E-06,52,-0.1,145,1.30E-04,1000,0
145.2,1.27E-06,50,-0.13,145.2,1.30E-04,1000,0
145.4,6.35E-07,48,-0.1,145.4,1.30E-04,1000,0
145.6,6.35E-07,47,-0.03,145.6,1.30E-04,1000,0
145.8,6.35E-07,46,0,145.8,1.30E-04,1000,0
146,6.35E-07,46,0.03,146,1.30E-04,1000,0
146.2,6.35E-07,45,0.13,146.2,1.30E-04,1000,0
146.4,1.27E-06,46,0.25,146.4,1.30E-04,1000,0
146.6,2.54E-06,52,0.44,146.6,1.30E-04,1000,0
146.8,3.81E-06,65,0.51,146.8,1.30E-04,1000,0
147,6.99E-06,97,0.44,147,1.30E-04,1000,0
147.2,6.99E-06,106,0.29,147.2,1.30E-04,999,0
147.4,8.26E-06,112,0.13,147.4,1.30E-04,999,0
147.6,8.26E-06,120,0.06,147.6,1.30E-04,1000,0
147.8,8.26E-06,120,0.03,147.8,1.30E-04,999,0
148,8.26E-06,121,0.06,148,1.30E-04,999,0
148.2,8.89E-06,122,0.1,148.2,1.30E-04,1000,0
148.4,8.89E-06,123,0.13,148.4,1.30E-04,1000,0
148.6,9.53E-06,128,0.19,148.6,1.30E-04,999,0
148.8,1.02E-05,135,0.25,148.8,1.30E-04,1000,0
149,1.14E-05,147,0.22,149,1.30E-04,1000,0
149.2,1.21E-05,157,0.13,149.2,1.30E-04,1000,0
149.4,1.21E-05,157,-0.51,149.4,1.30E-04,999,0
149.6,1.21E-05,156,-2.16,149.6,1.30E-04,1000,0
149.8,1.27E-06,108,-3.17,149.8,1.30E-04,1000,0
150,-2.03E-05,-40,-2.44,150,1.30E-04,1000,0
150.2,-1.91E-05,-44,-0.25,150.2,1.30E-04,1000,0
150.4,-1.65E-05,-47,1.75,150.4,1.30E-04,1000,0
150.6,-7.62E-06,-14,2.19,150.6,1.30E-04,1000,0
150.8,3.18E-06,71,1.71,150.8,1.30E-04,1000,0
151,5.08E-06,92,0.73,151,1.30E-04,1000,0
151.2,5.08E-06,91,0.1,151.2,1.30E-04,1000,0
151.4,5.08E-06,93,0,151.4,1.30E-04,1000,0
151.6,5.08E-06,93,0,151.6,1.30E-04,999,0
151.8,5.08E-06,92,0,151.8,1.30E-04,1000,0
152,5.08E-06,92,0,152,1.30E-04,1000,0
152.2,5.08E-06,91,0,152.2,1.30E-04,1000,0
152.4,5.08E-06,91,0,152.4,1.30E-04,999,0
152.6,5.08E-06,90,0,152.6,1.30E-04,1000,0
152.8,5.08E-06,90,0,152.8,1.30E-04,1000,0
153,5.08E-06,90,0,153,1.30E-04,999,0
153.2,5.08E-06,89,0,153.2,1.30E-04,1000,0
153.4,5.08E-06,89,0,153.4,1.30E-04,1000,0
153.6,5.08E-06,89,0,153.6,1.30E-04,1000,0
153.8,5.08E-06,89,0,153.8,1.30E-04,1000,0
154,5.08E-06,88,0,154,1.30E-04,1000,0
154.2,5.08E-06,88,-0.03,154.2,1.30E-04,999,0
154.4,5.08E-06,87,-0.13,154.4,1.30E-04,1000,0
154.6,4.45E-06,83,-0.19,154.6,1.30E-04,1000,0
154.8,3.18E-06,73,-0.16,154.8,1.30E-04,1000,0
155,3.18E-06,62,-0.06,155,1.30E-04,1000,0
155.2,3.18E-06,62,0,155.2,1.30E-04,1000,0
155.4,3.18E-06,62,0,155.4,1.30E-04,1000,0
155.6,3.18E-06,62,-0.03,155.6,1.30E-04,1000,0
155.8,3.18E-06,61,-0.1,155.8,1.30E-04,1000,0
156,2.54E-06,61,-0.13,156,1.30E-04,1000,0
156.2,1.91E-06,53,-0.1,156.2,1.30E-04,1000,0
156.4,1.91E-06,53,-0.03,156.4,1.30E-04,999,0
156.6,1.91E-06,53,0,156.6,1.30E-04,1000,0
156.8,1.91E-06,53,0,156.8,1.30E-04,1000,0
157,1.91E-06,53,0,157,1.30E-04,1000,0
157.2,1.91E-06,53,0.13,157.2,1.30E-04,999,0
157.4,1.91E-06,54,0.32,157.4,1.30E-04,999,0
157.6,4.45E-06,63,0.48,157.6,1.30E-04,1000,0
157.8,5.72E-06,81,0.48,157.8,1.30E-04,1000,0
158,7.62E-06,109,0.35,158,1.30E-04,1000,0
158.2,8.26E-06,111,0.22,158.2,1.30E-04,1000,0
158.4,8.89E-06,117,0.1,158.4,1.30E-04,999,0
158.6,8.89E-06,116,0.06,158.6,1.30E-04,1000,0
158.8,8.89E-06,115,0.13,158.8,1.30E-04,999,0
159,9.53E-06,119,0.25,159,1.30E-04,999,0
159.2,1.08E-05,130,0.29,159.2,1.30E-04,1000,0
159.4,1.21E-05,139,0.19,159.4,1.30E-04,1000,0
159.6,1.21E-05,142,0.1,159.6,1.30E-04,1000,0
159.8,1.21E-05,140,0.06,159.8,1.30E-04,1000,0
160,1.27E-05,143,0.06,160,1.30E-04,1000,0
160.2,1.27E-05,144,0.03,160.2,1.30E-04,1000,0
160.4,1.27E-05,143,0.13,160.4,1.30E-04,1000,0
160.6,1.27E-05,144,0.29,160.6,1.30E-04,999,0
160.8,1.52E-05,154,0.29,160.8,1.30E-04,1000,0
161,1.59E-05,166,0.13,161,1.30E-04,1000,0
161.2,1.52E-05,163,-0.06,161.2,1.30E-04,999,0
161.4,1.52E-05,159,-0.19,161.4,1.30E-04,1000,0
161.6,1.46E-05,152,-0.29,161.6,1.30E-04,1000,0
161.8,1.27E-05,132,-0.38,161.8,1.30E-04,1000,0
162,1.21E-05,127,-0.41,162,1.30E-04,999,0
162.2,1.02E-05,118,-0.35,162.2,1.30E-04,999,0
162.4,8.89E-06,101,-0.25,162.4,1.30E-04,1000,0
162.6,8.89E-06,95,-0.13,162.6,1.30E-04,1000,0
162.8,8.26E-06,90,-0.06,162.8,1.30E-04,1000,0
163,8.26E-06,86,-0.03,163,1.30E-04,1000,0
163.2,8.26E-06,85,-0.03,163.2,1.30E-04,1000,0
163.4,8.26E-06,84,-0.13,163.4,1.30E-04,1000,0
163.6,7.62E-06,81,-0.19,163.6,1.30E-04,1000,0
163.8,6.35E-06,71,-0.16,163.8,1.30E-04,1000,0
164,6.35E-06,69,-0.06,164,1.30E-04,1000,0
164.2,6.35E-06,68,0,164.2,1.30E-04,1000,0
164.4,6.35E-06,68,0,164.4,1.30E-04,1000,0
164.6,6.35E-06,68,-0.1,164.6,1.30E-04,1000,0
164.8,6.35E-06,67,-0.19,164.8,1.30E-04,1000,0
165,4.45E-06,55,-0.19,165,1.30E-04,1000,0
165.2,4.45E-06,52,-0.1,165.2,1.30E-04,1000,0
165.4,4.45E-06,51,0,165.4,1.30E-04,1000,0
165.6,4.45E-06,50,0,165.6,1.30E-04,1000,0
165.8,4.45E-06,50,0,165.8,1.30E-04,999,0
166,4.45E-06,49,0.03,166,1.30E-04,1000,0
166.2,4.45E-06,49,0.16,166.2,1.30E-04,1000,0
166.4,5.08E-06,50,0.29,166.4,1.30E-04,1000,0
166.6,6.99E-06,61,0.32,166.6,1.30E-04,1000,0
166.8,7.62E-06,69,0.25,166.8,1.30E-04,1000,0
167,8.26E-06,84,0.22,167,1.30E-04,1000,0
167.2,8.89E-06,92,0.25,167.2,1.30E-04,1000,0
167.4,1.02E-05,101,0.22,167.4,1.30E-04,1000,0
167.6,1.08E-05,108,0.13,167.6,1.30E-04,1000,0
167.8,1.08E-05,111,0.06,167.8,1.30E-04,1000,0
168,1.08E-05,113,0.06,168,1.30E-04,1000,0
168.2,1.14E-05,115,0.06,168.2,1.30E-04,1000,0
168.4,1.14E-05,116,0.03,168.4,1.30E-04,1000,0
168.6,1.14E-05,117,0,168.6,1.30E-04,1000,0
168.8,1.14E-05,117,0,168.8,1.30E-04,1000,0
169,1.14E-05,117,0.03,169,1.30E-04,1000,0
169.2,1.14E-05,118,0.06,169.2,1.30E-04,1000,0
169.4,1.21E-05,123,0.06,169.4,1.30E-04,1000,0
169.6,1.21E-05,126,0.06,169.6,1.30E-04,1000,0
169.8,1.21E-05,127,0.1,169.8,1.30E-04,1000,0
170,1.27E-05,133,0.13,170,1.30E-04,1000,0
170.2,1.33E-05,136,0.1,170.2,1.30E-04,1000,0
170.4,1.33E-05,137,0.06,170.4,1.30E-04,1000,0
170.6,1.33E-05,140,0.06,170.6,1.30E-04,999,0
170.8,1.40E-05,141,0.06,170.8,1.30E-04,999,0
171,1.40E-05,142,0.03,171,1.30E-04,1000,0
171.2,1.40E-05,141,0,171.2,1.30E-04,1000,0
171.4,1.40E-05,141,0.03,171.4,1.30E-04,1000,0
171.6,1.40E-05,141,0.06,171.6,1.30E-04,1000,0
171.8,1.46E-05,148,0.1,171.8,1.30E-04,1000,0
172,1.46E-05,151,0.1,172,1.30E-04,1001,0
172.2,1.52E-05,154,0.06,172.2,1.30E-04,1001,0
172.4,1.52E-05,157,0.03,172.4,1.30E-04,1001,0
172.6,1.52E-05,155,0,172.6,1.30E-04,1001,0
172.8,1.52E-05,154,-0.03,172.8,1.30E-04,1001,0
173,1.52E-05,153,-0.1,173,1.30E-04,1000,0
173.2,1.46E-05,148,-0.16,173.2,1.30E-04,1000,0
173.4,1.40E-05,142,-0.16,173.4,1.30E-04,1000,0
173.6,1.33E-05,134,-0.13,173.6,1.30E-04,1000,0
173.8,1.33E-05,131,-0.1,173.8,1.30E-04,1000,0
174,1.27E-05,128,-0.1,174,1.30E-04,1000,0
174.2,1.27E-05,126,-0.1,174.2,1.30E-04,1000,0
174.4,1.21E-05,123,-0.1,174.4,1.30E-04,1000,0
174.6,1.21E-05,120,-0.16,174.6,1.30E-04,1000,0
174.8,1.14E-05,115,-0.19,174.8,1.30E-04,1000,0
175,1.02E-05,110,-0.19,175,1.30E-04,1000,0
175.2,1.02E-05,103,-0.16,175.2,1.30E-04,1000,0
175.4,9.53E-06,100,-0.13,175.4,1.30E-04,1000,0
175.6,8.89E-06,91,-0.13,175.6,1.30E-04,1000,0
175.8,8.89E-06,89,-0.16,175.8,1.30E-04,1000,0
176,8.26E-06,85,-0.19,176,1.30E-04,1000,0
176.2,6.99E-06,77,-0.19,176.2,1.30E-04,1000,0
176.4,6.99E-06,72,-0.13,176.4,1.30E-04,1000,0
176.6,6.35E-06,68,-0.06,176.6,1.30E-04,1000,0
176.8,6.35E-06,66,-0.03,176.8,1.30E-04,1000,0
177,6.35E-06,64,0,177,1.30E-04,1000,0
177.2,6.35E-06,63,0,177.2,1.30E-04,1000,0
177.4,6.35E-06,62,-0.03,177.4,1.30E-04,1000,0
177.6,6.35E-06,62,-0.06,177.6,1.30E-04,1000,0
177.8,5.72E-06,61,-0.1,177.8,1.30E-04,1000,0
178,5.72E-06,58,-0.1,178,1.30E-04,1000,0
178.2,5.08E-06,55,-0.06,178.2,1.30E-04,1000,0
178.4,5.08E-06,52,-0.03,178.4,1.30E-04,1000,0
178.6,5.08E-06,52,0,178.6,1.30E-04,1000,0
178.8,5.08E-06,51,0,178.8,1.30E-04,1000,0
179,5.08E-06,51,0,179,1.30E-04,1000,0
179.2,5.08E-06,50,0,179.2,1.30E-04,1000,0
179.4,5.08E-06,50,0,179.4,1.30E-04,1000,0
179.6,5.08E-06,50,0.13,179.6,1.30E-04,1000,0
179.8,5.08E-06,52,0.35,179.8,1.30E-04,999,0
180,7.62E-06,67,0.48,180,1.30E-04,1000,0
180.2,9.53E-06,96,0.38,180.2,1.30E-04,1000,0
180.4,1.02E-05,98,0.16,180.4,1.30E-04,999,0
180.6,1.02E-05,98,0.06,180.6,1.30E-04,1000,0
180.8,1.02E-05,98,0.06,180.8,1.30E-04,1000,0
181,1.08E-05,107,0.1,181,1.30E-04,1000,0
181.2,1.08E-05,111,0.1,181.2,1.30E-04,1000,0
181.4,1.14E-05,113,0.1,181.4,1.30E-04,1000,0
181.6,1.14E-05,117,0.1,181.6,1.30E-04,1000,0
181.8,1.21E-05,121,0.13,181.8,1.30E-04,1000,0
182,1.21E-05,124,0.16,182,1.30E-04,1000,0
182.2,1.33E-05,131,0.16,182.2,1.30E-04,1000,0
182.4,1.33E-05,137,0.13,182.4,1.30E-04,1000,0
182.6,1.40E-05,140,0.06,182.6,1.30E-04,1000,0
182.8,1.40E-05,140,0.03,182.8,1.30E-04,1000,0
183,1.40E-05,140,0,183,1.30E-04,999,0
183.2,1.40E-05,138,0,183.2,1.30E-04,1000,0
183.4,1.40E-05,138,0,183.4,1.30E-04,1000,0
183.6,1.40E-05,139,0.03,183.6,1.30E-04,999,0
183.8,1.40E-05,140,0.06,183.8,1.30E-04,1000,0
184,1.46E-05,143,0.06,184,1.30E-04,1000,0
184.2,1.46E-05,149,0.06,184.2,1.30E-04,1000,0
184.4,1.46E-05,150,0.06,184.4,1.30E-04,1000,0
184.6,1.52E-05,151,0.06,184.6,1.30E-04,1000,0
184.8,1.52E-05,153,-0.29,184.8,1.30E-04,1000,0
185,1.52E-05,152,-0.7,185,1.30E-04,999,0
185.2,8.89E-06,107,-0.79,185.2,1.30E-04,1000,0
185.4,7.62E-06,84,-0.51,185.4,1.30E-04,1000,0
185.6,6.99E-06,78,-0.13,185.6,1.30E-04,1000,0
185.8,6.99E-06,74,-0.03,185.8,1.30E-04,1000,0
186,6.99E-06,72,0,186,1.30E-04,1000,0
186.2,6.99E-06,71,0,186.2,1.30E-04,1000,0
186.4,6.99E-06,70,0,186.4,1.30E-04,1000,0
186.6,6.99E-06,70,0,186.6,1.30E-04,1000,0
186.8,6.99E-06,69,0,186.8,1.30E-04,1000,0
187,6.99E-06,69,0,187,1.30E-04,1000,0
187.2,6.99E-06,69,0,187.2,1.30E-04,1000,0
187.4,6.99E-06,69,0,187.4,1.30E-04,1000,0
187.6,6.99E-06,69,0,187.6,1.30E-04,1000,0
187.8,6.99E-06,69,-0.03,187.8,1.30E-04,1000,0
188,6.99E-06,69,-0.1,188,1.30E-04,1000,0
188.2,6.35E-06,67,-0.13,188.2,1.30E-04,1000,0
188.4,5.72E-06,60,-0.1,188.4,1.30E-04,999,0
188.6,5.72E-06,58,-0.03,188.6,1.30E-04,1000,0
188.8,5.72E-06,57,0,188.8,1.30E-04,1000,0
189,5.72E-06,56,0,189,1.30E-04,999,0
189.2,5.72E-06,54,-0.03,189.2,1.30E-04,1000,0
189.4,5.72E-06,54,-0.1,189.4,1.30E-04,1000,0
189.6,5.08E-06,52,-0.16,189.6,1.30E-04,999,0
189.8,4.45E-06,48,-0.16,189.8,1.30E-04,1000,0
190,3.81E-06,42,-0.1,190,1.30E-04,1000,0
190.2,3.81E-06,40,0.16,190.2,1.30E-04,1000,0
190.4,3.81E-06,39,0.51,190.4,1.30E-04,1000,0
190.6,7.62E-06,59,0.7,190.6,1.30E-04,1000,0
190.8,1.02E-05,99,0.6,190.8,1.30E-04,1000,0
191,1.14E-05,111,0.35,191,1.30E-04,1000,0
191.2,1.21E-05,118,0.19,191.2,1.30E-04,1000,0
191.4,1.27E-05,125,0.1,191.4,1.30E-04,1000,0
191.6,1.27E-05,124,0.06,191.6,1.30E-04,1000,0
191.8,1.27E-05,126,0.1,191.8,1.30E-04,1000,0
192,1.33E-05,131,0.16,192,1.30E-04,1000,0
192.2,1.40E-05,137,0.16,192.2,1.30E-04,1000,0
192.4,1.46E-05,145,0.1,192.4,1.30E-04,1000,0
192.6,1.46E-05,147,0.03,192.6,1.30E-04,1000,0
192.8,1.46E-05,147,0.03,192.8,1.30E-04,1000,0
193,1.46E-05,149,0.06,193,1.30E-04,1000,0
193.2,1.52E-05,151,0.06,193.2,1.30E-04,1000,0
193.4,1.52E-05,153,0.03,193.4,1.30E-04,1000,0
193.6,1.52E-05,153,-0.06,193.6,1.30E-04,1000,0
193.8,1.52E-05,151,-0.38,193.8,1.30E-04,1000,0
194,1.40E-05,144,-0.64,194,1.30E-04,1000,0
194.2,8.89E-06,99,-0.57,194.2,1.30E-04,1000,0
194.4,8.89E-06,92,-0.25,194.4,1.30E-04,1000,0
194.6,8.89E-06,90,0,194.6,1.30E-04,1000,0
194.8,8.89E-06,89,0,194.8,1.30E-04,1000,0
195,8.89E-06,88,0,195,1.30E-04,1000,0
195.2,8.89E-06,87,-0.03,195.2,1.30E-04,1000,0
195.4,8.89E-06,86,-0.06,195.4,1.30E-04,1000,0
195.6,8.26E-06,84,-0.1,195.6,1.30E-04,1000,0
195.8,8.26E-06,82,-0.13,195.8,1.30E-04,1000,0
196,7.62E-06,78,-0.13,196,1.30E-04,1000,0
196.2,6.99E-06,73,-0.1,196.2,1.30E-04,1000,0
196.4,6.99E-06,70,-0.03,196.4,1.30E-04,1000,0
196.6,6.99E-06,69,-0.03,196.6,1.30E-04,1000,0
196.8,6.99E-06,67,-0.06,196.8,1.30E-04,1000,0
197,6.35E-06,65,-0.1,197,1.30E-04,1000,0
197.2,6.35E-06,61,-0.1,197.2,1.30E-04,1000,0
197.4,5.72E-06,59,-0.06,197.4,1.30E-04,1000,0
197.6,5.72E-06,57,-0.03,197.6,1.30E-04,1000,0
197.8,5.72E-06,55,0,197.8,1.30E-04,1000,0
198,5.72E-06,54,0,198,1.30E-04,1000,0
198.2,5.72E-06,54,0,198.2,1.30E-04,1000,0
198.4,5.72E-06,54,-0.03,198.4,1.30E-04,1000,0
198.6,5.72E-06,54,-0.06,198.6,1.30E-04,1000,0
198.8,5.08E-06,53,-0.06,198.8,1.30E-04,1000,0
199,5.08E-06,50,-0.03,199,1.30E-04,1000,0
199.2,5.08E-06,49,0.03,199.2,1.30E-04,1000,0
199.4,5.08E-06,48,0.29,199.4,1.30E-04,1000,0
199.6,5.72E-06,49,0.57,199.6,1.30E-04,1000,0
199.8,1.02E-05,94,0.6,199.8,1.30E-04,1000,0
200,1.14E-05,108,0.35,200,1.30E-04,1000,0
200.2,1.14E-05,112,0.06,200.2,1.30E-04,1000,0
200.4,1.14E-05,112,0,200.4,1.30E-04,1000,0
200.6,1.14E-05,112,0,200.6,1.30E-04,999,0
200.8,1.14E-05,111,0,200.8,1.30E-04,1000,0
201,1.14E-05,111,0,201,1.30E-04,1000,0
201.2,1.14E-05,111,0,201.2,1.30E-04,999,0
201.4,1.14E-05,111,0,201.4,1.30E-04,1000,0
201.6,1.14E-05,111,0,201.6,1.30E-04,999,0
201.8,1.14E-05,111,0.03,201.8,1.30E-04,999,0
202,1.14E-05,111,0.06,202,1.30E-04,999,0
202.2,1.21E-05,115,0.1,202.2,1.30E-04,999,0
202.4,1.21E-05,119,0.1,202.4,1.30E-04,1000,0
