"Time (s) Run #1","Position (m) Run #1","Force (N) Run #1","Speed (mm/min) Run #1","Time (s) Run #2","Position (m) Run #2","Force (N) Run #2","Speed (mm/min) Run #2"
17.000,1.23190E-4,1018,0.00,17.000,0.00180,1801,44.26
17.200,1.23190E-4,1018,0.00,17.200,0.00189,1829,37.53
17.400,1.23190E-4,1017,0.00,17.400,0.00204,1870,23.81
17.600,1.23190E-4,1017,0.00,17.600,0.00208,1816,11.56
17.800,1.23190E-4,1017,-0.03,17.800,0.00208,1789,1.91
18.000,1.23190E-4,1017,-0.06,18.000,0.00208,1779,0.00
18.200,1.22555E-4,1014,-0.06,18.200,0.00208,1774,0.00
18.400,1.22555E-4,1012,-0.03,18.400,0.00208,1770,0.00
18.600,1.22555E-4,1012,0.00,18.600,0.00208,1767,0.00
18.800,1.22555E-4,1012,0.00,18.800,0.00208,1764,0.00
19.000,1.22555E-4,1012,0.00,19.000,0.00208,1762,0.03
19.200,1.22555E-4,1012,-0.06,19.200,0.00208,1761,2.25
19.400,1.22555E-4,1012,-0.32,19.400,0.00208,1761,13.59
19.600,1.21285E-4,998,-0.73,19.600,0.00212,1913,32.58
19.800,1.17475E-4,973,-0.89,19.800,0.00231,1941,45.37
20.000,1.13030E-4,909,-0.64,20.000,0.00250,1981,39.18
20.200,1.13030E-4,909,-0.22,20.200,0.00261,1925,20.16
20.400,1.13030E-4,909,0.00,20.400,0.00261,1895,5.14
20.600,1.13030E-4,909,0.00,20.600,0.00261,1885,0.00
20.800,1.13030E-4,909,0.00,20.800,0.00261,1879,0.00
21.000,1.13030E-4,909,0.00,21.000,0.00261,1874,0.35
21.200,1.13030E-4,909,0.00,21.200,0.00261,1872,7.65
21.400,1.13030E-4,909,0.03,21.400,0.00261,1880,21.18
21.600,1.13030E-4,909,0.06,21.600,0.00275,2051,32.23
21.800,1.13665E-4,910,0.06,21.800,0.00288,2063,30.96
22.000,1.13665E-4,910,0.03,22.000,0.00298,2081,18.61
22.200,1.13665E-4,910,0.00,22.200,0.00300,2025,7.18
22.400,1.13665E-4,910,0.00,22.400,0.00300,1995,1.14
22.600,1.13665E-4,910,0.00,22.600,0.00300,1984,-0.03
22.800,1.13665E-4,910,0.00,22.800,0.00300,1977,0.00
23.000,1.13665E-4,910,0.00,23.000,0.00300,1972,0.00
23.200,1.13665E-4,910,0.00,23.200,0.00300,1969,1.49
23.400,1.13665E-4,910,0.00,23.400,0.00300,1966,7.37
23.600,1.13665E-4,910,0.00,23.600,0.00303,2043,14.45
23.800,1.13665E-4,910,0.00,23.800,0.00312,2130,19.69
24.000,1.13665E-4,910,0.00,24.000,0.00318,2119,25.75
24.200,1.13665E-4,910,0.00,24.200,0.00326,2148,29.69
24.400,1.13665E-4,910,-0.03,24.400,0.00341,2159,26.07
24.600,1.13665E-4,910,-0.06,24.600,0.00348,2159,15.65
24.800,1.13030E-4,910,-0.06,24.800,0.00348,2088,12.60
25.000,1.13030E-4,910,-0.03,25.000,0.00351,2126,23.24
25.200,1.13030E-4,910,0.00,25.200,0.00364,2202,33.08
25.400,1.13030E-4,910,0.00,25.400,0.00378,2226,29.62
25.600,1.13030E-4,910,0.03,25.600,0.00386,2204,20.54
25.800,1.13030E-4,910,0.06,25.800,0.00387,2167,17.68
26.000,1.13665E-4,910,0.06,26.000,0.00396,2264,25.65
26.200,1.13665E-4,910,0.03,26.200,0.00404,2270,36.64
26.400,1.13665E-4,910,0.29,26.400,0.00421,2289,48.20
